#   f   phi deltaphi    A_s A_g

    5.00    200 0   2.6     0.7
    10.00   100 0   2.8     0.8
    16.00   62  0.1 3.0     0.8
    19.00   52  2   3.2     0.1
    21.00   48  2   3.4     0.7
    25.00   40  2   4.2     0.8
    27.00   37  3   4.8     0.8
    30.00   33  3   5.4     0.7
    33.00   30  5   6.4     0.7
    40.00   24  8   5.6     0.7
    43.00   24  8   4.4     0.7
    46.00   22  8   3.5     0.7
    49.00   20  9   2.8     0.7
    52.00   19  9   2.3     0.7
    55.00   18  9   1.9     0.8
    58.00   17  8   1.6     0.8
    60.00   16  8   1.45    0.8
